Tabela  … . Codzienne i charakterystyczne przepływy wody Q m3·s-1 dla rzeki … w profilu … w roku hydrologicznym …,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,,,,,,,,,
Dz.,XI,XII,I,II,III,IV,V,VI,VII,VIII,IX,X
1,,,,,,,,,,,,
2,,,,,,,,,,,,
3,,,,,,,,,,,,
4,,,,,,,,,,,,
5,,,,,,,,,,,,
6,,,,,,,,,,,,
7,,,,,,,,,,,,
8,,,,,,,,,,,,
9,,,,,,,,,,,,
10,,,,,,,,,,,,
11,,,,,,,,,,,,
12,,,,,,,,,,,,
13,,,,,,,,,,,,
14,,,,,,,,,,,,
15,,,,,,,,,,,,
16,,,,,,,,,,,,
17,,,,,,,,,,,,
18,,,,,,,,,,,,
19,,,,,,,,,,,,
20,,,,,,,,,,,,
21,,,,,,,,,,,,
22,,,,,,,,,,,,
23,,,,,,,,,,,,
24,,,,,,,,,,,,
25,,,,,,,,,,,,
26,,,,,,,,,,,,
27,,,,,,,,,,,,
28,,,,,,,,,,,,
29,,,,,,,,,,,,
30,,,,,,,,,,,,
31,,,,,,,,,,,,
NQ,,,,,,,,,,,,
SQ,,,,,,,,,,,,
WQ,,,,,,,,,,,,
SQ,Zima: ,,,,Rok: ,,,,Lato: ,,,
Ekstr.,WQ  m3·s-1,,,NQ  m3·s-1,,,WQ  m3·s-1,,,NQ  m3·s-1,,
roku,,,,,,,,,,,,
